date,campaign_name,click,ctv,vtv,cost,campaign_budget_total_amount
2022-04-01,10873609615,13.916138151613369,0.0,0,3012.4346116433644,3274.3854474384398
2022-04-04,10873609615,13.097541789753759,0.0,0,3627.2004793999317,3274.3854474384398
2022-04-05,10873609615,11.460349066034539,0.8185963618596099,0,4459.712979411155,2455.7890855788296
2022-04-06,10873609615,11.460349066034539,0.0,0,2729.2002704399397,2455.7890855788296
2022-04-07,10873609615,12.278945427894149,0.0,0,2383.7526057351843,2455.7890855788296
2022-04-08,10873609615,2.4557890855788296,0.0,0,735.9181293117894,1637.1927237192199
2022-04-11,10873609615,7.36736725673649,0.0,0,1699.4060472205501,818.5963618596099
2022-04-12,10873609615,4.09298180929805,0.0,0,1001.9619469161626,818.5963618596099
2022-04-13,10873609615,4.911578171157659,0.0,0,777.6665437666294,818.5963618596099
2022-04-14,10873609615,1.6371927237192199,0.0,0,424.85151180513753,818.5963618596099
2022-04-15,10873609615,7.36736725673649,0.0,0,1335.9492625548835,818.5963618596099
2022-04-18,10873609615,5.730174533017269,0.0,0,813.6847836884523,818.5963618596099
2022-04-19,10873609615,3.2743854474384397,0.0,0,570.5616642161481,818.5963618596099
2022-04-20,10873609615,7.36736725673649,0.0,0,807.954609155435,818.5963618596099
2022-04-21,10873609615,7.36736725673649,0.0,0,1828.7442723943686,1637.1927237192199
2022-04-22,10873609615,5.730174533017269,0.0,0,1271.2801499679742,1637.1927237192199
2022-04-25,10873609615,6.5487708948768795,0.0,0,1376.0604842860043,1637.1927237192199
2022-04-26,10873609615,9.00455998045571,0.0,0,2261.7817478181023,1637.1927237192199
2022-04-27,10873609615,6.5487708948768795,0.8185963618596099,0,1750.1590216558461,1637.1927237192199
2022-04-28,10873609615,1.6371927237192199,0.0,0,450.22799902278547,1637.1927237192199
2022-05-09,10873609615,7.36736725673649,0.8185963618596099,0,1799.2748033674227,1637.1927237192199
2022-05-10,10873609615,7.36736725673649,0.0,0,2663.7125614911706,3274.3854474384398
2022-05-11,10873609615,13.097541789753759,0.8185963618596099,0,3700.8741519672967,3274.3854474384398
2022-05-12,10873609615,1.6371927237192199,0.0,0,775.2107546810506,3274.3854474384398
2022-05-13,10873609615,18.00911996091142,0.0,0,5692.519100371727,3274.3854474384398
2022-05-16,10873609615,11.460349066034539,0.8185963618596099,0,4154.37653643752,3274.3854474384398
2022-05-17,10873609615,9.00455998045571,0.0,0,3206.441949404092,4747.858898785737
2022-05-18,10873609615,17.190523599051808,0.0,0,6550.408087600598,5566.455260645347
2022-05-19,10873609615,14.73473451347298,0.0,0,5827.587500078563,5566.455260645347
2022-05-20,10873609615,17.190523599051808,0.0,0,5672.872787687097,5566.455260645347
2022-05-23,10873609615,17.190523599051808,0.0,0,5162.88725424856,5566.455260645347
2022-05-24,10873609615,20.46490904649025,0.0,0,5609.840867823907,5566.455260645347
2022-05-25,10873609615,16.3719272371922,0.8185963618596099,0,5767.829965662811,5566.455260645347
2022-05-26,10873609615,15.55333087533259,0.0,0,4985.251843725025,5566.455260645347
2022-05-27,10873609615,15.55333087533259,0.0,0,5384.726868312514,5566.455260645347
2022-05-30,10873609615,18.82771632277103,0.0,0,6340.028822602679,5566.455260645347
2022-05-31,10873609615,15.55333087533259,0.0,0,5206.272861427119,6385.051622504958
2022-06-01,10873609615,11.460349066034539,0.8185963618596099,0,3368.5240290522947,5566.455260645347
2022-06-02,10873609615,15.55333087533259,0.0,0,3759.8130900211886,5566.455260645347
2022-06-03,10873609615,12.278945427894149,0.0,0,4196.94354725422,5566.455260645347
