,date,campaign_name,click,ctv,vtv,cost,campaign_budget_total_amount
0,2022-04-01,2025876384,49,5,0,14272.5,88000.0
1,2022-04-02,2025876384,27,2,0,7040.0,88000.0
2,2022-04-03,2025876384,31,3,0,7164.3,88000.0
3,2022-04-04,2025876384,72,0,0,24884.2,88000.0
4,2022-04-05,2025876384,91,1,0,33708.4,88000.0
5,2022-04-06,2025876384,114,3,0,43005.6,88000.0
6,2022-04-07,2025876384,133,4,0,57940.3,88000.0
7,2022-04-08,2025876384,141,3,0,56604.9,88000.0
8,2022-04-09,2025876384,39,1,0,16029.2,88000.0
9,2022-04-10,2025876384,50,3,0,17565.9,88000.0
10,2022-04-11,2025876384,143,1,0,55008.8,88000.0
11,2022-04-12,2025876384,222,5,0,95630.7,88000.0
12,2022-04-13,2025876384,160,8,0,61810.1,88000.0
13,2022-04-14,2025876384,143,0,0,54507.2,88000.0
14,2022-04-15,2025876384,129,3,0,47269.2,88000.0
15,2022-04-16,2025876384,64,1,0,20709.7,88000.0
16,2022-04-17,2025876384,58,1,0,17309.6,88000.0
17,2022-04-18,2025876384,128,5,0,48544.1,88000.0
18,2022-04-19,2025876384,132,2,0,45586.2,88000.0
19,2022-04-20,2025876384,131,7,0,51511.9,88000.0
20,2022-04-21,2025876384,125,2,0,44402.6,88000.0
21,2022-04-22,2025876384,119,2,0,42885.7,88000.0
22,2022-04-23,2025876384,54,1,0,19993.6,88000.0
23,2022-04-24,2025876384,67,2,0,21611.7,88000.0
24,2022-04-25,2025876384,131,3,0,52125.7,88000.0
25,2022-04-26,2025876384,158,4,0,60945.5,88000.0
26,2022-04-27,2025876384,124,2,0,47417.7,88000.0
27,2022-04-28,2025876384,101,2,0,39224.9,88000.0
28,2022-04-29,2025876384,73,5,0,23815.0,88000.0
29,2022-04-30,2025876384,55,2,0,17386.6,88000.0
30,2022-05-01,2025876384,64,2,0,22051.7,88000.0
31,2022-05-02,2025876384,69,2,0,22918.5,88000.0
32,2022-05-03,2025876384,36,1,0,11302.5,88000.0
33,2022-05-04,2025876384,47,0,0,16112.8,88000.0
34,2022-05-05,2025876384,41,2,0,14305.5,88000.0
35,2022-05-06,2025876384,103,0,0,38243.7,88000.0
36,2022-05-07,2025876384,50,1,0,17268.9,88000.0
37,2022-05-08,2025876384,40,0,0,10479.7,88000.0
38,2022-05-09,2025876384,120,0,0,46568.5,88000.0
39,2022-05-10,2025876384,96,1,0,33429.0,88000.0
40,2022-05-11,2025876384,68,3,0,23225.4,88000.0
41,2022-05-12,2025876384,81,3,0,25883.0,88000.0
42,2022-05-13,2025876384,74,0,0,23285.9,88000.0
43,2022-05-14,2025876384,30,0,0,6789.2,88000.0
44,2022-05-15,2025876384,29,2,0,9011.2,88000.0
45,2022-05-16,2025876384,81,2,0,24051.5,88000.0
46,2022-05-17,2025876384,78,2,0,29209.4,88000.0
47,2022-05-18,2025876384,91,2,0,29944.2,88000.0
48,2022-05-19,2025876384,80,1,0,28759.5,88000.0
49,2022-05-20,2025876384,104,1,0,35828.1,88000.0
50,2022-05-21,2025876384,50,3,0,15622.2,88000.0
51,2022-05-22,2025876384,35,3,0,10518.2,88000.0
52,2022-05-23,2025876384,83,3,0,23024.1,88000.0
53,2022-05-24,2025876384,101,3,0,29454.7,88000.0
54,2022-05-25,2025876384,112,5,0,38728.8,88000.0
55,2022-05-26,2025876384,99,7,0,30325.9,88000.0
56,2022-05-27,2025876384,109,3,0,37143.7,88000.0
57,2022-05-28,2025876384,45,0,0,16864.1,88000.0
58,2022-05-29,2025876384,43,0,0,12305.7,88000.0
59,2022-05-30,2025876384,125,4,0,46233.0,88000.0
60,2022-05-31,2025876384,150,0,0,55243.1,88000.0
61,2022-06-01,2025876384,155,2,0,53362.1,88000.0
