date,campaign_name,click,ctv,vtv,cost,campaign_budget_total_amount
2022-06-01,13997312368,88.03188078180898,1.2575982968829855,0,31120.52745466636,37727.94890648957
2022-06-02,13997312368,88.03188078180898,2.515196593765971,0,28604.073262603506,37727.94890648957
2022-06-03,13997312368,70.42550462544719,3.7727948906489566,0,24343.33023276395,37727.94890648957
2022-06-04,13997312368,13.83358126571284,0.0,0,4787.676716233525,37727.94890648957
2022-06-05,13997312368,5.030393187531942,0.0,0,1823.517530480329,37727.94890648957
2022-06-06,13997312368,72.94070121921317,2.515196593765971,0,28573.890903478314,37727.94890648957
2022-06-07,13997312368,74.19829951609614,1.2575982968829855,0,30503.046690896816,37727.94890648957
2022-06-08,13997312368,75.45589781297913,3.7727948906489566,0,29839.034790142596,37727.94890648957
2022-06-09,13997312368,71.68310292233018,0.0,0,24960.810996533495,37727.94890648957
2022-06-10,13997312368,64.13751314103226,3.7727948906489566,0,20869.843736773146,37727.94890648957
2022-06-11,13997312368,18.863974453244783,0.0,0,5950.9551408502875,37727.94890648957
2022-06-12,13997312368,7.545589781297913,0.0,0,3194.2996740827834,37727.94890648957
2022-06-13,13997312368,60.364718250383305,2.515196593765971,0,21924.96870785797,37727.94890648957
2022-06-14,13997312368,77.9710944067451,2.515196593765971,0,28179.005038257055,37727.94890648957
2022-06-15,13997312368,65.39511143791525,0.0,0,25754.35552186666,37727.94890648957
2022-06-16,13997312368,72.94070121921317,1.2575982968829855,0,25426.1223663802,37727.94890648957
2022-06-17,13997312368,54.076726765968374,1.2575982968829855,0,19980.721740876874,37727.94890648957
2022-06-18,13997312368,5.030393187531942,0.0,0,2999.3719380659204,37727.94890648957
2022-06-19,13997312368,10.060786375063884,0.0,0,4106.058439322947,37727.94890648957
2022-06-20,13997312368,66.65270973479824,1.2575982968829855,0,29207.720445107338,37727.94890648957
2022-06-21,13997312368,66.65270973479824,2.515196593765971,0,25155.73873255036,37727.94890648957
2022-06-22,13997312368,60.364718250383305,5.030393187531942,0,21004.406754539625,37727.94890648957
2022-06-23,13997312368,46.53113698467047,0.0,0,16936.076264123167,37727.94890648957
2022-06-24,13997312368,54.076726765968374,1.2575982968829855,0,18609.93959727442,37727.94890648957
2022-06-25,13997312368,16.348777859478812,0.0,0,6440.160878337769,37727.94890648957
2022-06-26,13997312368,10.060786375063884,0.0,0,3478.516889178338,37727.94890648957
2022-06-27,13997312368,37.727948906489566,0.0,0,14500.108363060823,37727.94890648957
2022-06-28,13997312368,42.75834209402151,0.0,0,17845.319832769565,37727.94890648957
2022-06-29,13997312368,45.27353868778748,3.7727948906489566,0,18647.66754618091,37727.94890648957
2022-06-30,13997312368,72.94070121921317,1.2575982968829855,0,30201.223099644896,37727.94890648957
2022-07-01,13997312368,84.25908589116003,2.515196593765971,0,29885.565927127267,37727.94890648957
